연도,시군구,법정동,업종,가구수,사용량
2022,경기도 부천시,심곡본1동,가정용,52812,1283305
2022,경기도 부천시,심곡본1동,일반용,10213,373856
2022,경기도 부천시,심곡본1동,대중탕용,6,67
2022,경기도 부천시,심곡본동,가정용,49901,1253043
2022,경기도 부천시,심곡본동,일반용,11338,436785
2022,경기도 부천시,심곡본동,대중탕용,18,31949
2022,경기도 부천시,심곡본동,산업용,6,78
2022,경기도 부천시,소사본1동,가정용,38222,892296
2022,경기도 부천시,소사본1동,일반용,3802,143623
2022,경기도 부천시,소사본1동,산업용,12,336
2022,경기도 부천시,소사본2동,가정용,34661,936931
2022,경기도 부천시,소사본2동,일반용,13770,588310
2022,경기도 부천시,소사본2동,대중탕용,24,29076
2022,경기도 부천시,소사본2동,산업용,153,17755
2022,경기도 부천시,소사본3동,가정용,71654,2226328
2022,경기도 부천시,소사본3동,일반용,9118,389171
2022,경기도 부천시,소사본3동,산업용,55,2338
2022,경기도 부천시,범박동,가정용,103653,3692656
2022,경기도 부천시,범박동,일반용,6636,669612
2022,경기도 부천시,범박동,대중탕용,12,36714
2022,경기도 부천시,범박동,산업용,42,19168
2022,경기도 부천시,괴안동,가정용,50882,1429657
2022,경기도 부천시,괴안동,일반용,3381,185249
2022,경기도 부천시,괴안동,산업용,132,4303
2022,경기도 부천시,역곡3동,가정용,67682,1755196
2022,경기도 부천시,역곡3동,일반용,7583,454382
2022,경기도 부천시,역곡3동,대중탕용,24,36192
2022,경기도 부천시,역곡3동,산업용,198,8892
2022,경기도 부천시,송내1동,가정용,54378,1596938
2022,경기도 부천시,송내1동,일반용,5317,276806
2022,경기도 부천시,송내1동,대중탕용,24,12863
2022,경기도 부천시,송내1동,산업용,203,34588
2022,경기도 부천시,송내2동,가정용,62856,1889771
2022,경기도 부천시,송내2동,일반용,7860,471500
2022,경기도 부천시,송내2동,대중탕용,5,884
2022,경기도 부천시,송내2동,산업용,123,11438
2022,경기도 부천시,심곡1동,가정용,37076,899260
2022,경기도 부천시,심곡1동,일반용,9687,415125
2022,경기도 부천시,심곡1동,대중탕용,12,9998
2022,경기도 부천시,심곡1동,산업용,12,541
